"Type","BuyAmount","BuyCurrency","SellAmount","SellCurrency","FeeAmount","FeeCurrency","Exchange","ExchangeId","Group","Import","Comment","Date","NOKEquivalent","UpdatedAt"
"Trade","415.68696262","XRP","94.76","USD","0.24","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-10T12:03:00.000Z","kr 840,16","2021-11-27T15:32:00.877Z"
"Deposit","100","USD","0","","5","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-10T12:03:00.000Z","kr 886,62","2021-11-27T15:32:00.877Z"
"Trade","97.38","USD","215.6869626","XRP","0.25","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T10:23:00.000Z","kr 863,39","2021-11-27T15:32:00.877Z"
"Trade","90.3","USD","200","XRP","0.23","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T10:23:00.000Z","kr 800,62","2021-11-27T15:32:00.877Z"
"Trade","99.91633719","XRP","44.46","USD","0.12","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T17:12:00.000Z","kr 394,19","2021-11-27T15:32:00.877Z"
"Trade","159.87446175","XRP","71.13","USD","0.18","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T17:12:00.000Z","kr 630,65","2021-11-27T15:32:00.877Z"
"Trade","159.87446175","XRP","71.13","USD","0.18","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T17:12:00.000Z","kr 630,65","2021-11-27T15:32:00.877Z"
"Trade","426.84684684","XRP","189.52","USD","0.48","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T17:15:00.000Z","kr 1 680,32","2021-11-27T15:32:00.877Z"
"Deposit","200","USD","0","","10","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T17:15:00.000Z","kr 1 773,24","2021-11-27T15:32:00.877Z"
"Deposit","2000","USD","0","","100","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-14T11:53:00.000Z","kr 17 732,38","2021-11-27T15:32:00.877Z"
"Trade","2.66066192","ETH","1896.44","USD","3.56","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-14T11:53:00.000Z","kr 16 814,20","2021-11-27T15:32:00.877Z"
"Withdrawal","0","","2.66066192","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2017-12-14T16:55:00.000Z","","2021-11-27T15:32:00.897Z"
"Deposit","2.66066192","ETH","0","","0","","ETH Transaction","0xaf4f40063459d06f6cd9fa18ee8192fc170e0229af40b364e357d58f227df0c7-transfer-422672419","","ETH","","2017-12-14T16:58:27.000Z","kr 16 621,98","2022-01-16T13:12:36.926Z"
"Deposit","250","USD","0","","12.5","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-15T10:01:00.000Z","kr 2 216,55","2021-11-27T15:32:00.877Z"
"Trade","0.32691342","ETH","207.87","USD","0.39","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-15T10:01:00.000Z","kr 1 843,01","2021-11-27T15:32:00.877Z"
"Trade","0.02307883","ETH","14.59","USD","0.03","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-15T10:01:00.000Z","kr 129,36","2021-11-27T15:32:00.877Z"
"Trade","0.02307883","ETH","14.59","USD","0.03","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-15T10:01:00.000Z","kr 129,36","2021-11-27T15:32:00.877Z"
"Deposit","0.00188453","ETH","0","","0","","ETH Transaction","0xaa366e0aa6a7b9173faa61b7f61d4a7dbbcc6bcbfb1374b5058e9edff8e21464-transfer-423189696","","ETH","","2017-12-15T10:09:37.000Z","kr 11,73","2022-05-26T18:40:55.132Z"
"Withdrawal","0","","1","ETH","0.00084","ETH","ETH Transaction","0x8bdb4cd360cf9c7e5f5c8ed335e5bf4606196e1da92929a4bc2f92ad5303310f","","ETH","","2017-12-17T09:21:57.000Z","","2022-01-16T13:12:32.488Z"
"Deposit","1","ETH","0","","0","","binance","0x8bdb4cd360cf9c7e5f5c8ed335e5bf4606196e1da92929a4bc2f92ad5303310f","","binance","","2017-12-17T09:22:28.000Z","kr 7 076,24","2022-05-14T21:44:57.735Z"
"Trade","1325","ADA","0.96707775","ETH","1.325","ADA","binance","209624","","binance","","2017-12-17T09:37:13.000Z","kr 5 587,08","2021-11-27T15:39:20.542Z"
"Trade","40","ADA","0.0291944","ETH","0.04","ADA","binance","209623","","binance","","2017-12-17T09:37:13.000Z","kr 168,67","2021-11-27T15:39:20.477Z"
"Deposit","0.992","ETH","0","","0","","Binance","","","1 transaction","","2017-12-17T22:22:00.000Z","kr 7 019,63","2022-05-14T20:10:30.733Z"
"Trade","0.119286","ETH","180","ADA","0.00011929","ETH","binance","258103","","binance","","2017-12-18T12:19:00.000Z","kr 844,10","2021-11-27T15:39:20.315Z"
"Trade","0.3440268","ETH","520","ADA","0.00034403","ETH","binance","258104","","binance","","2017-12-18T12:19:00.000Z","kr 2 434,42","2021-11-27T15:39:20.323Z"
"Withdrawal","0","","0.45657733","ETH","0.01","ETH","binance","17102572edb547ed88c9e43abf23dd53","","binance","","2017-12-18T12:21:11.000Z","","2021-11-27T15:39:19.782Z"
"Withdrawal","0","","662.635","ADA","1","ADA","binance","9f8bce84dc1a4c689e2d5f7c97957808","","binance","","2017-12-18T12:26:45.000Z","","2022-05-14T20:15:13.479Z"
"Deposit","0.45657733","ETH","0","","0","ETH","ETH Transaction","0x3e91b1231c626c1d033a7117b3ed18c98c10a9247bdb3e06a17add8e60e27689","","ETH","","2017-12-18T13:39:28.000Z","kr 3 359,88","2022-05-14T17:36:42.675Z"
"Deposit","0.45157733","ETH","0","","0","ETH","ETH Transaction","0x1510db1bdc6bd1a53da3b155b960f9a6b7f3c2d23c8a8ffcc5bfd62b3c4e1e28","","ETH","","2017-12-21T11:28:04.000Z","kr 3 254,61","2022-01-16T13:12:33.298Z"
"Withdrawal","0","","","ETH","0.00299349","ETH","ETH Transaction","0x68a15eb8f7f3ecc0dbccaedfb182150779a41cbb9ad856b26e275b548027a128","","ETH","Failed","2017-12-21T20:43:21.000Z","","2022-05-14T19:02:40.060Z"
"Withdrawal","0","","","ETH","0.00299349","ETH","ETH Transaction","0x8687dfc1af5a4149a519b378fd70cfa6cef904fc2f03b1a48928fc5d2ee02fc3","","ETH","","2017-12-21T20:44:55.000Z","","2022-05-14T19:06:05.069Z"
"Deposit","15435","AGI","0","","0","","ETH Transaction","0x255d70a603a813ad777eff11449194592bc6b63ee19822dafd742108e879eb5e-transfer-428596274","","ETH","","2017-12-21T20:52:15.000Z","","2022-01-16T13:12:34.965Z"
"Trade","15435","AGI","2.1","ETH","0.00341922","ETH","ETH Transaction","0x255d70a603a813ad777eff11449194592bc6b63ee19822dafd742108e879eb5e","","ETH","","2017-12-21T20:52:15.000Z","kr 12 461,26","2022-05-14T19:10:03.165Z"
"Trade","244.36304244","XRP","245.54","USD","0.62","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 2 177,00","2021-11-27T15:32:00.877Z"
"Deposit","500","USD","0","","25","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 4 433,09","2021-11-27T15:32:00.877Z"
"Trade","37.26518239","XRP","37.44","USD","0.1","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 331,95","2021-11-27T15:32:00.877Z"
"Trade","75.52140047","XRP","75.81","USD","0.19","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 672,15","2021-11-27T15:32:00.877Z"
"Trade","57.22526223","XRP","57.5","USD","0.15","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 509,81","2021-11-27T15:32:00.877Z"
"Trade","57.22526223","XRP","57.5","USD","0.15","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 509,81","2021-11-27T15:32:00.877Z"
"Withdrawal","0","","500","XRP","0","","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:26:00.000Z","","2021-11-27T15:32:00.952Z"
"Deposit","500","XRP","0","","0","","binance","580019F0836C72785F6EAA94BA63655B7AAC44B433A40D0EFAC36C83B7D41522","","binance","","2017-12-22T11:27:27.000Z","kr 4 902,38","2021-11-27T15:39:19.374Z"
"Trade","0.01056993","ETH","7","XRP","0.00001057","ETH","binance","596550","","binance","","2017-12-22T11:28:47.000Z","kr 62,72","2021-11-27T15:39:20.304Z"
"Trade","0.260192","ETH","173","XRP","0.00026019","ETH","binance","596551","","binance","","2017-12-22T11:28:47.000Z","kr 1 543,96","2021-11-27T15:39:20.308Z"
"Trade","0.4851104","ETH","320","XRP","0.00048511","ETH","binance","596549","","binance","","2017-12-22T11:28:47.000Z","kr 2 878,61","2021-11-27T15:39:20.307Z"
"Trade","1278","ADA","0.7549785","ETH","1.278","ADA","binance","394023","","binance","","2017-12-22T11:29:08.000Z","kr 4 698,02","2021-11-27T15:39:20.326Z"
"Spend","","USD","","ADA","1","ADA","binance","bc5d39860cd1410b8891db8052c2c815","","binance","","2017-12-22T12:00:27.000Z","","2022-05-14T20:14:45.887Z"
"Lost","0","","20","XRP","0","","","","","1 transaction","Fee for opening wallet","2017-12-24T00:00:00.000Z","","2022-05-14T20:20:23.471Z"
"Withdrawal","0","","818.112257","XRP","0","","bitstamp","","","bitstamp_transactions.csv","","2017-12-24T11:39:00.000Z","","2021-11-27T15:32:02.047Z"
"Deposit","818.112257","XRP","0","","0.06","XRP","XRP Transaction","B9AED83C711EF0D15BA89677475B10A1B7DC2776AFD8DEA668A9DEADB06E0383","","XRP","","2017-12-24T11:39:11.000Z","kr 8 126,72","2022-05-14T12:38:56.947Z"
"Withdrawal","0","","0.45655633","ETH","0.000021","ETH","ETH Transaction","0x36ff7220ba63245c611f60a908c8267cc2187f85df10d12cbf56387b1bbbff5b","","ETH","","2017-12-26T08:35:49.000Z","","2022-05-14T17:36:42.675Z"
"Trade","0.50740531","ETH","473.79","USD","1.19","USD","bitstamp","","","bitstamp_transactions.csv","","2018-01-04T10:52:00.000Z","kr 4 200,71","2021-11-27T15:32:00.877Z"
"Deposit","500","USD","0","","25","USD","bitstamp","","","bitstamp_transactions.csv","","2018-01-04T10:52:00.000Z","kr 4 433,09","2021-11-27T15:32:00.877Z"
"Withdrawal","0","","0.03","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2018-01-04T10:59:00.000Z","","2021-11-27T15:32:00.949Z"
"Deposit","0.03","ETH","0","","0","","kucoin","0x533f8b62623400915637ba1d286d69cb1666d795ca1c9109d993a98dd3098874","","kucoin","","2018-01-04T18:42:31.000Z","kr 260,24","2021-11-27T15:24:34.992Z"
"Trade","0.02957615","BTC","473.81","USD","1.19","USD","bitstamp","","","bitstamp_transactions.csv","","2018-01-05T14:57:00.000Z","kr 4 200,89","2021-11-27T15:32:00.877Z"
"Deposit","500","USD","0","","25","USD","bitstamp","","","bitstamp_transactions.csv","","2018-01-05T14:57:00.000Z","kr 4 433,09","2021-11-27T15:32:00.877Z"
"Withdrawal","0","","0.47740531","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2018-01-05T16:55:00.000Z","","2021-11-27T15:32:00.950Z"
"Deposit","0.47740531","ETH","0","","0","","kucoin","0xf015d91956a9520e75732b8b4273759e0439a6a02d5d22a4228f1680fd6f310d","","kucoin","","2018-01-05T17:19:19.000Z","kr 4 253,49","2021-11-27T15:24:35.068Z"
"Trade","0.31054894","ETH","0.02950215","BTC","0.000074","BTC","bitstamp","","","bitstamp_transactions.csv","","2018-01-10T09:17:00.000Z","kr 3 704,92","2021-11-27T15:32:01.311Z"
"Withdrawal","0","","0.31054894","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2018-01-10T09:26:00.000Z","","2021-11-27T15:32:00.951Z"
"Deposit","0.31054894","ETH","0","","0","","kucoin","0xe462d962cf6b9877db653555918ae44f1daa4557337b0008a3358484be2be289","","kucoin","","2018-01-10T09:29:57.000Z","kr 3 704,92","2021-11-27T15:24:35.043Z"
"Withdrawal","0","","6249.929999999999","VET","0","","kucoin","0x4816e9facd859256a8b42de9a0d4ac466929f002ceeb5eee7bf3390dd37b6e66","","kucoin","","2018-01-30T19:32:46.000Z","","2021-11-27T15:24:35.353Z"
"Deposit","0.38084","ETH","0","","0","ETH","ETH Transaction","0x156db6b1a57bb313f9e4255998116fe28597bbee8e19d09d6ecc01df91e7d1eb","","ETH","","2018-01-30T19:42:29.000Z","kr 3 923,30","2022-01-16T13:12:35.905Z"
